provinsi_encoded,komoditas_encoded,provinsi_encoded^2,komoditas_encoded^2,prov_komo_interaction,produksi_ton
-0.8587669297458257,-0.31901331874931843,0.7374806396250719,0.10176949753945425,0.27395808829037865,11505.899000000001
-0.6861695468141094,0.7353418115009542,0.4708286469750802,0.5407275797415049,-0.504569157551076,60549.280000000006
-1.3765590785409745,0.339958637657102,1.8949148967135767,0.11557187531767277,-0.46797314899530534,13685.74
0.2631160593103302,1.2625193766260905,0.0692300606669972,1.5939551763563322,0.3321891231807916,484.8
0.6946095166396209,-0.9779852751557389,0.48248238060632775,0.9564551984214462,-0.6793178792565944,1.3
-1.3765590785409745,-1.373368448999591,1.8949148967135767,1.8861408967075421,1.8905228066521242,4.0
-0.5135721638823931,-1.109779666437023,0.26375636751484366,1.23161090803707,0.5699519447247423,2154.87
-0.2546760894848186,0.8671362027822382,0.06485991055527934,0.751925194175599,-0.22083885717529514,0.5
0.2631160593103302,0.07636985509453381,0.0692300606669972,0.005832354767160092,0.02009413532257468,801.15
-0.7724682382799675,-0.5826021013118866,0.5967071791513566,0.3394252084530258,0.45004161881860016,709.191
0.09051867637861392,0.2081642463758179,0.00819363077333624,0.043332353469212215,0.018842752051290716,9.6
0.17681736784447208,-0.7143964925931706,0.03126438157144735,0.5103623486294241,-0.12631770741764733,5695.977
0.2631160593103302,1.1307249853448065,0.0692300606669972,1.2785389924830128,0.2975119023076564,10024.039
0.6946095166396209,0.9989305940635224,0.48248238060632775,0.9978623317561017,0.6938666970989926,2.5
1.5575964312982025,-1.109779666437023,2.426106642792896,1.23161090803707,-1.7285888479696165,2641.9
-0.6861695468141094,1.1307249853448065,0.4708286469750802,1.2785389924830128,-0.7758690507654363,113104.785
-0.7724682382799675,0.6035474202196701,0.5967071791513566,0.36426948845381907,-0.4662212124155078,103434.45999999999
1.384999048366486,1.1307249853448065,1.9182223639760718,1.2785389924830128,1.5660530286667658,193.611
0.2631160593103302,-1.5051628402808752,0.0692300606669972,2.2655151757623915,-0.39603251515504784,171549.688
1.6438951227640606,1.1307249853448065,2.702391174647466,1.2785389924830128,1.8587932885957912,22222.782
0.17681736784447208,1.3943137679073747,0.03126438157144735,1.9441108833760603,0.24653889039069013,4287.174
0.4357134422420465,0.47175302893838605,0.1898462037504132,0.2225509203125417,0.20554913612685596,1060.9
-1.1176630041434001,1.3943137679073747,1.2491705908308501,1.9441108833760603,-1.55837291455786,1774.53
1.1261029739689117,1.3943137679073747,1.2681079079816273,1.9441108833760603,1.5701408806862935,10321.483
-1.635455152938549,-0.18721892746803434,2.674713557273253,0.035050926802281106,0.3061881596552252,13674.242000000002
0.09051867637861392,0.6035474202196701,0.00819363077333624,0.36426948845381907,0.054632313610011626,113.95
1.1261029739689117,0.47175302893838605,1.2681079079816273,0.2225509203125417,0.5312424888663586,56072.647
-0.3409747809506768,-1.5051628402808752,0.11626380124436202,2.2655151757623915,0.5132225697598699,91.01
-1.635455152938549,1.3943137679073747,2.674713557273253,1.9441108833760603,-2.28033763653728,9484.551
0.7809082081054791,1.3943137679073747,0.6098176294865103,1.9441108833760603,1.088831066033347,1058.617
0.6083108251737628,-0.7143964925931706,0.3700420600235842,0.5103623486294241,-0.43457511991059355,3021.561
-0.8587669297458257,-0.4508077100306025,0.7374806396250719,0.20322759142303579,0.38713875304872697,2065.669
0.6083108251737628,0.9989305940635224,0.3700420600235842,0.9978623317561017,0.6076602939660983,1022.7
-0.7724682382799675,1.1307249853448065,0.5967071791513566,1.2785389924830128,-0.8734491374084447,46261.81
-0.6861695468141094,0.47175302893838605,0.4708286469750802,0.2225509203125417,-0.3237025620748358,210179.06
-0.6861695468141094,1.5261081591886587,0.4708286469750802,2.3290061135421967,-1.0471689439797967,126810.23000000001
-0.9450656212116838,-0.18721892746803434,0.8931490283962258,0.035050926802281106,0.17693417199016304,6298.369000000001
0.6083108251737628,0.07636985509453381,0.3700420600235842,0.005832354767160092,0.046456609570956556,32.43
-1.2902603870751164,-0.8461908838744547,1.6647718664552291,0.716039011952231,1.091806577367289,45171.772
1.6438951227640606,-1.241574057718307,2.702391174647466,1.541506140799102,-2.041017538033509,16351.059
-0.5998708553482512,0.339958637657102,0.35984504309624255,0.11557187531767277,-0.203931278754392,6977.152
-1.5491564614726907,-0.7143964925931706,2.399885742122588,0.5103623486294241,1.1067119425541374,27280.977000000003
-0.5998708553482512,-0.9779852751557389,0.35984504309624255,0.9564551984214462,0.5866648635256679,2849.542
0.0042199849127557846,1.5261081591886587,1.7808272663886447e-05,2.3290061135421967,0.006440153407009643,15612.291000000001
0.5220121337079047,-0.055424536186750264,0.27249666773827935,0.0030718792115163895,-0.02893228039461648,277.04
0.5220121337079047,-1.109779666437023,0.27249666773827935,1.23161090803707,-0.5793184516224371,59.845000000000006
0.17681736784447208,-1.5051628402808752,0.03126438157144735,2.2655151757623915,-0.2661389315957739,333.87600000000003
-0.7724682382799675,0.07636985509453381,0.5967071791513566,0.005832354767160092,-0.058993287422570935,26414.329999999998
0.9535055910371953,-1.109779666437023,0.9091729121391913,1.23161090803707,-1.0581811167670951,2.71
-1.3765590785409745,-1.5051628402808752,1.8949148967135767,2.2655151757623915,2.0719455724711575,577.65
0.5220121337079047,-1.5051628402808752,0.27249666773827935,2.2655151757623915,-0.7857132658328698,34.441
0.3494147507761884,1.5261081591886587,0.12209066805998585,2.3290061135421967,0.5332447021004129,9574.41
0.0042199849127557846,-0.4508077100306025,1.7808272663886447e-05,0.20322759142303579,-0.0019024017348831272,211.507
1.5575964312982025,0.7353418115009542,2.426106642792896,0.5407275797415049,1.1453657813782419,1410.584
1.298700356900628,1.5261081591886587,1.6866226170138183,2.3290061135421967,1.9819572110072714,4368.769
